charity,ceo,contributions,year,charity_sector,state,fundraising,emp_compensation,emp_number,ceo_basesalary,ceo_extra,year_founded,ceo_year_started,ceo_gender,ceo_last_school,ceo_degree,ceo_school_rank,missing_data,state1,sector1,degree1,gender1,ceo_salary,charity_age,ceo_duration,founder
Arizona Humane Society,Guy Collison,12235799,2013,Animals,AZ,1983159,9609068,316,132342,1518,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,133860,56,4,0
Arizona Humane Society,Guy Collison,10627266,2011,Animals,AZ,1424704,7916722,271,157604,6970,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,164574,54,2,0
Arizona Humane Society,Guy Collison,9533268,2010,Animals,AZ,1447507,7279205,247,161642,4361,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,166003,53,1,0
Arizona Humane Society,Guy Collison,9500407,2012,Animals,AZ,1425836,8357674,269,168403,7248,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,175651,55,3,0
Arizona Humane Society,Guy Collison,9190346,2009,Animals,AZ,1250467,6835755,250,118492,2777,1957,2009,male,Bowling Green State University,B.S.,29,,AZ,Animals,B.S.,male,121269,52,0,0
Make-A-Wish America,David Williams,70369626,2014,Health,AZ,10776025,14958459,228,557618,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,557618,34,9,0
Make-A-Wish America,David Williams,65925217,2013,Health,AZ,8626896,13046614,228,524395,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,524395,33,8,0
Make-A-Wish America,David Williams,58854635,2012,Health,AZ,8310357,11282138,198,500630,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,500630,32,7,0
Make-A-Wish America,David Williams,58712923,2010,Health,AZ,8019303,10171173,148,460050,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,460050,30,5,0
Make-A-Wish America,David Williams,57705423,2011,Health,AZ,8502580,10871500,178,471217,0,1980,2005,male,University of Houston,MBA,29,,AZ,Health,MBA,male,471217,31,6,0
Cenikor Foundation,William L. Bailey,6760837,2014,Health,TX,290743,6581555,360,407083,0,1967,2008,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,407083,47,6,0
Cenikor Foundation,William L. Bailey,6627331,2013,Health,TX,498382,7151483,360,341015,0,1967,2007,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,341015,46,6,0
Cenikor Foundation,William L. Bailey,6538324,2012,Health,TX,547457,6985541,336,329534,0,1967,2006,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,329534,45,6,0
Cenikor Foundation,William L. Bailey,6527203,2011,Health,TX,454555,5710733,284,303988,0,1967,2005,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,303988,44,6,0
Cenikor Foundation,William L. Bailey,3819022,2010,Health,TX,301849,3990129,136,271001,0,1967,2004,male,Texas Tech University,BBA,32,,TX,Health,BBA,male,271001,43,6,0
American Indian College Fund,Richard Williams,19742859,2010,Education,CO,2898051,2690311,56,175716,27536,1989,1997,male,University of Wyoming,M.Ed.,33,,CO,Education,M.Ed.,male,203252,21,13,0
American Indian College Fund,Richard Williams,17227467,2011,Education,CO,2806346,3072473,56,203452,30867,1989,1997,male,University of Wyoming,M.Ed.,33,,CO,Education,M.Ed.,male,234319,22,14,0
Gay Men's Health Crisis,Marjorie Hill,21913566,2012,Health,NY,2229573,10367661,208,289365,0,1982,2004,female,Adelphi University,Ph.D,38,,NY,Health,Ph.D,female,289365,30,8,0
Gay Men's Health Crisis,Marjorie Hill,21696921,2011,Health,NY,2282302,10363876,211,234351,0,1982,2004,female,Adelphi University,Ph.D,38,,NY,Health,Ph.D,female,234351,29,7,0
Gay Men's Health Crisis,Marjorie Hill,21387392,2013,Health,NY,2149160,9209962,207,205544,0,1982,2004,female,Adelphi University,Ph.D,38,,NY,Health,Ph.D,female,205544,31,9,0
Habitat for Humanity East Bay/Silicon Valley,Janice E. Jensen,11586066,2010,Community Development,CA,655837,3628846,65,162930,0,1976,2005,female,Oregon State University,B.S.,39,,CA,Community Development,B.S.,female,162930,34,5,0
